Acronym (Mandatory),Stands For (Mandatory),Url,Description,State (Mandatory),Last Modified,Last Modified By,Id
SAC,Semi-Anual Channel. A Software Assurance benefit. Option to receive 18 months mainstream production support and a new version every six months. See What's New in Windows Server version 1709  .,https://docs.microsoft.com/en-us/windows-server/get-started/whats-new-in-windows-server-1709,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,19ad6b93-472e-496d-b9b9-b40a16c067e8
SDE,Software Design Engineer.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,48e317f7-d31a-4fe3-b6e9-ae76d144b76f
SIUF,System Initiated User Feedback. Feedback through surveys.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,2f061343-7e8d-4a44-afd2-a2f7866ec2ac
SMB,Small and Midsize Businesses. Also Small and Medium Businesses. A customer classification.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,5b0e068e-fa83-423b-8d05-d75223564c5d
SME,Subject Matter Expert or Small to Medium-sized Enterprise,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,8ab948bc-0f5c-4d8e-88c0-8bdad99d3d7e
SP,Service Pack. See Service pack  .,https://en.wikipedia.org/wiki/Service_pack,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,029663fa-1c8e-49d5-828a-9e05043ac39c
SPLA,Services Provider License Agreement. See Licensing options for service providers  .,https://www.microsoft.com/en-us/Licensing/licensing-programs/spla-program.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,a25580e3-a5f8-4cf1-8524-7404cf4538a8
SPUR,Services Provider Use Rights. Provides details on how products acquired through the Microsoft Services Provider License Agreement (SPLA) may be used. See Product Terms  .,https://www.microsoft.com/en-us/licensing/product-licensing/products.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,8f2527e0-874a-450c-8a5a-160beef43cf1
SUVP,Security Update Validation Program. See A little bit about the Security Update Validation Program  .,https://blogs.technet.microsoft.com/msrc/2005/03/15/a-little-bit-about-the-security-update-validation-program/,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,45837f04-bf9f-4952-9140-51ec636b96a7
TAM,Technical Account Manager.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,20533bb4-116a-482a-8e1a-e74f12b1190f
TBH,To Be Hired.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,7b2330f9-40bd-4666-ad8c-48830ff38ab3
TDM,Technical Decision Maker.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,593eecb4-0946-40c8-a0a4-e174ff7d4296
TECHNET,Technical Network. A web portal for IT professionals. See Microsoft TechNet  .,https://en.wikipedia.org/wiki/Microsoft_TechNet,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,03b2cd4c-4d00-4984-ac96-cee100f332b0
TFS,Team Foundation Server.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,82aa6e1a-496a-4b68-9e4c-877cc3e9a4d3
TNWIKI,"TechNet Wiki. A library of information about Microsoft technologies inspired by Wikipedia, written by the community for the community. See Wiki: About TechNet Wiki.",https://social.technet.microsoft.com/wiki/contents/articles/695.wiki-about-technet-wiki.aspx,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,b978a2e9-ffc5-4aa0-908f-677ba7dd8f18
TPI,Third-Party Integrator. A partner that is approved by Microsoft and has been hired or authorized by a company to integrate a software application that they own into Microsoft software.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,3c8b7ec4-d3c5-4298-a14e-6a2b6f1c6878
UIF,"User Initiated Feedback. Feedback you enter on your own, for example through the Windows Feedback App.",,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,d3b62a84-e46a-4dae-b396-34d7be5e0e18
WDG,Windows and Devices Group.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,939af62f-9110-4801-bc7e-38f8276077f1
WSSMB,Windows Server for Small and Medium Business. A classification of MVP's.,,Sourced from https://social.technet.microsoft.com/wiki/contents/articles/33653.wiki-glossary-of-microsoft-acronyms.aspx,Published,03/27/2021,admin@{your-tenant-name}.OnMicrosoft.com,a7627cf7-cb97-4e54-a671-a07727b08940
